currency,rate,date,rate_in_GBP
AED,4.177132,2025-04-20,4.872495590746634
AED,4.134899,2025-04-10,4.772841809037802
AFN,80.503465,2025-04-10,92.92374578542581
AFN,81.880982,2025-04-20,95.5116390291244
ALL,99.252011,2025-04-20,115.77440836684987
ALL,100.445255,2025-04-10,115.942206226431
AMD,444.591208,2025-04-20,518.6019260738515
AMD,440.259519,2025-04-10,508.1838852920162
ANG,2.049629,2025-04-20,2.3908289862916545
ANG,2.01533,2025-04-10,2.3262602745576504
AOA,1033.439985,2025-04-10,1192.8817529858404
AOA,1037.159064,2025-04-20,1209.814046154851
ARS,1211.709962,2025-04-10,1398.6556786662034
ARS,1294.140503,2025-04-20,1509.5749654725134
AUD,1.808797,2025-04-10,2.0878628342946586
AUD,1.780172,2025-04-20,2.076515710006439
AWG,2.029168,2025-04-10,2.342233236642931
AWG,2.047025,2025-04-20,2.387791500639225
AZN,1.912467,2025-04-10,2.2075273074396975
AZN,1.934307,2025-04-20,2.256309431602915
BAM,1.988086,2025-04-10,2.294813000453633
BAM,1.956825,2025-04-20,2.2825759838000765
BBD,2.27401,2025-04-10,2.6248500875523324
BBD,2.294803,2025-04-20,2.6768168923395637
BDT,138.092365,2025-04-20,161.08048287156709
BDT,136.841075,2025-04-10,157.95326656193475
BGN,1.957857,2025-04-20,2.2837797799572606
BGN,1.963143,2025-04-10,2.266021730523502
BHD,0.428625,2025-04-20,0.4999778370862533
BHD,0.424335,2025-04-10,0.48980249071091114
BIF,3296.202275,2025-04-10,3804.7488050289785
BIF,3332.101328,2025-04-20,3886.7933856533627
BMD,1.137236,2025-04-20,1.3265507040807756
BMD,1.125752,2025-04-10,1.2994359021122217
BND,1.492134,2025-04-20,1.7405282705461875
BND,1.505028,2025-04-10,1.737227574886967
BOB,7.854392,2025-04-20,9.161905917264676
BOB,7.782175,2025-04-10,8.982828892615938
BRL,6.625956,2025-04-10,7.648225463704163
BRL,6.605293,2025-04-20,7.704870475266187
BSD,1.136596,2025-04-20,1.3258041638282583
BSD,1.126281,2025-04-10,1.3000465175872264
BTC,1.3464835e-05,2025-04-20,1.5706314564067148e-05
BTC,1.4137713e-05,2025-04-10,1.6318915574619174e-05
BTN,97.022843,2025-04-20,113.17415267681338
BTN,96.989519,2025-04-10,111.9533104246721
BWP,15.66621,2025-04-20,18.274150577168932
BWP,15.884684,2025-04-10,18.335413735269913
BYN,3.685723,2025-04-10,4.2543657852180266
BYN,3.71968,2025-04-20,4.338891947630201
BYR,22064.742006,2025-04-10,25468.94692031641
BYR,22289.824581,2025-04-20,26000.392611351144
BZD,2.282996,2025-04-20,2.6630443911497648
BZD,2.262299,2025-04-10,2.611332284475246
CAD,1.571111,2025-04-10,1.8135060293949596
CAD,1.574122,2025-04-20,1.8361647427702241
CDF,3271.827624,2025-04-20,3816.485969709129
CDF,3238.788894,2025-04-10,3738.4775405470605
CHF,0.923933,2025-04-10,1.0664797498438834
CHF,0.930816,2025-04-20,1.0857681432610744
CLF,0.029025,2025-04-10,0.03350305134595118
CLF,0.028662,2025-04-20,0.03343333862132679
CLP,1113.808235,2025-04-10,1285.6494224547205
CLP,1099.889232,2025-04-20,1282.9868515598025
CNH,8.227672,2025-04-10,9.497058310892157
CNH,8.306019,2025-04-20,9.688714877614055
CNY,8.234312,2025-04-10,9.504722747100153
CNY,8.298206,2025-04-20,9.679601254187624
COP,4920.38118,2025-04-10,5679.510191737877
COP,4901.486936,2025-04-20,5717.433273299054
CRC,571.199327,2025-04-20,666.2863903379028
CRC,579.099393,2025-04-10,668.4443306834853
CUC,1.125752,2025-04-10,1.2994359021122217
CUC,1.137236,2025-04-20,1.3265507040807756
CUP,30.136753,2025-04-20,35.153592491671404
CUP,29.832432,2025-04-10,34.435056023104124
CVE,112.518717,2025-04-10,129.87839286930404
CVE,110.753701,2025-04-20,129.19077486212333
CZK,25.080182,2025-04-10,28.949616720475476
CZK,25.063084,2025-04-20,29.23531415347001
DJF,202.109301,2025-04-20,235.75426344472334
DJF,200.068727,2025-04-10,230.93584266666974
DKK,7.466968,2025-04-10,8.618990949270435
DKK,7.466602,2025-04-20,8.709560847696457
DOP,68.799184,2025-04-20,80.25212530678138
DOP,69.682643,2025-04-10,80.43345965032164
DZD,148.962853,2025-04-10,171.94522352104661
DZD,150.758869,2025-04-20,175.85556895698994
EGP,57.784406,2025-04-10,66.69953216927784
EGP,58.14335,2025-04-20,67.82242373624732
ERN,16.886282,2025-04-10,19.49154084024845
ERN,17.058539,2025-04-20,19.89825939474249
ETB,151.279275,2025-04-20,176.4626064986329
ETB,146.553887,2025-04-10,169.16459607613186
EUR,1.0,2025-04-20,1.166469144558188
EUR,1.0,2025-04-10,1.1542825614453465
FJD,2.597108,2025-04-20,3.029446347085227
FJD,2.582081,2025-04-10,2.980451070539362
FKP,0.855951,2025-04-20,0.9984404307537257
FKP,0.881519,2025-04-10,1.0175220092827404
GBP,0.857288,2025-04-20,1.0
GBP,0.866339,2025-04-10,1.0
GEL,3.116457,2025-04-20,3.635250930842377
GEL,3.10703,2025-04-10,3.586390546887535
GGP,0.881519,2025-04-10,1.0175220092827404
GGP,0.855951,2025-04-20,0.9984404307537257
GHS,17.505526,2025-04-10,20.20632339072811
GHS,17.695341,2025-04-20,20.641069278935433
GIP,0.881519,2025-04-10,1.0175220092827404
GIP,0.855951,2025-04-20,0.9984404307537257
GMD,81.053567,2025-04-10,93.55871893104201
GMD,81.337762,2025-04-20,94.8779896604175
GNF,9744.510894,2025-04-10,11247.918994758402
GNF,9843.346448,2025-04-20,11481.959910788439
GTQ,8.689111,2025-04-10,10.029689301762936
GTQ,8.754588,2025-04-20,10.21195677531938
GYD,238.429138,2025-04-20,278.12023264060616
GYD,235.624433,2025-04-10,271.97717406234744
HKD,8.733934,2025-04-10,10.0814277090146
HKD,8.827817,2025-04-20,10.297376144306229
HNL,29.46444,2025-04-20,34.36936012168606
HNL,29.038819,2025-04-10,33.51900237666779
HRK,7.554022,2025-04-10,8.719475863374498
HRK,7.519518,2025-04-20,8.771285728949897
HTG,147.087383,2025-04-10,169.7804012055327
HTG,148.317723,2025-04-20,173.0080474706283
HUF,406.666557,2025-04-10,469.40811506812
HUF,408.387066,2025-04-20,476.3709115256483
IDR,18959.579869,2025-04-10,21884.71241511695
IDR,19177.096068,2025-04-20,22369.49084555015
ILS,4.229732,2025-04-10,4.882305887187349
ILS,4.189521,2025-04-20,4.886946976978565
IMP,0.881519,2025-04-10,1.0175220092827404
IMP,0.855951,2025-04-20,0.9984404307537257
INR,97.099169,2025-04-10,112.07987750753459
INR,97.094363,2025-04-20,113.25757855003219
IQD,1474.735308,2025-04-10,1702.261248772132
IQD,1489.779092,2025-04-20,1737.781343025914
IRR,47408.236589,2025-04-10,54722.50076355792
IRR,47906.064037,2025-04-20,55880.94553638916
ISK,145.100218,2025-04-20,169.25492716566663
ISK,145.481075,2025-04-10,167.92626789282258
JEP,0.881519,2025-04-10,1.0175220092827404
JEP,0.855951,2025-04-20,0.9984404307537257
